Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species,Flower,Type,Petal_Length2
5.1,3.5,1.4,0.2,Iris-setosa,IRIS,setosa,1
4.9,3.0,1.4,0.2,Iris-setosa,IRIS,setosa,1
4.7,3.2,1.3,0.2,Iris-setosa,IRIS,setosa,1
4.6,3.1,1.5,0.2,Iris-setosa,IRIS,setosa,2
5.0,3.6,1.4,0.2,Iris-setosa,IRIS,setosa,1
5.4,3.9,1.7,0.4,Iris-setosa,IRIS,setosa,2
4.6,3.4,1.4,0.3,Iris-setosa,IRIS,setosa,1
5.0,3.4,1.5,0.2,Iris-setosa,IRIS,setosa,2
4.4,2.9,1.4,0.2,Iris-setosa,IRIS,setosa,1
4.9,3.1,1.5,0.1,Iris-setosa,IRIS,setosa,2
5.4,3.7,1.5,0.2,Iris-setosa,IRIS,setosa,2
4.8,3.4,1.6,0.2,Iris-setosa,IRIS,setosa,2
4.8,3.0,1.4,0.1,Iris-setosa,IRIS,setosa,1
4.3,3.0,1.1,0.1,Iris-setosa,IRIS,setosa,1
5.8,4.0,1.2,0.2,Iris-setosa,IRIS,setosa,1
5.7,4.4,1.5,0.4,Iris-setosa,IRIS,setosa,2
5.4,3.9,1.3,0.4,Iris-setosa,IRIS,setosa,1
5.1,3.5,1.4,0.3,Iris-setosa,IRIS,setosa,1
5.7,3.8,1.7,0.3,Iris-setosa,IRIS,setosa,2
5.1,3.8,1.5,0.3,Iris-setosa,IRIS,setosa,2
5.4,3.4,1.7,0.2,Iris-setosa,IRIS,setosa,2
5.1,3.7,1.5,0.4,Iris-setosa,IRIS,setosa,2
4.6,3.6,1.0,0.2,Iris-setosa,IRIS,setosa,1
5.1,3.3,1.7,0.5,Iris-setosa,IRIS,setosa,2
4.8,3.4,1.9,0.2,Iris-setosa,IRIS,setosa,3
5.0,3.0,1.6,0.2,Iris-setosa,IRIS,setosa,2
5.0,3.4,1.6,0.4,Iris-setosa,IRIS,setosa,2
5.2,3.5,1.5,0.2,Iris-setosa,IRIS,setosa,2
5.2,3.4,1.4,0.2,Iris-setosa,IRIS,setosa,1
4.7,3.2,1.6,0.2,Iris-setosa,IRIS,setosa,2
4.8,3.1,1.6,0.2,Iris-setosa,IRIS,setosa,2
5.4,3.4,1.5,0.4,Iris-setosa,IRIS,setosa,2
5.2,4.1,1.5,0.1,Iris-setosa,IRIS,setosa,2
5.5,4.2,1.4,0.2,Iris-setosa,IRIS,setosa,1
4.9,3.1,1.5,0.1,Iris-setosa,IRIS,setosa,2
5.0,3.2,1.2,0.2,Iris-setosa,IRIS,setosa,1
5.5,3.5,1.3,0.2,Iris-setosa,IRIS,setosa,1
4.9,3.1,1.5,0.1,Iris-setosa,IRIS,setosa,2
4.4,3.0,1.3,0.2,Iris-setosa,IRIS,setosa,1
5.1,3.4,1.5,0.2,Iris-setosa,IRIS,setosa,2
5.0,3.5,1.3,0.3,Iris-setosa,IRIS,setosa,1
4.5,2.3,1.3,0.3,Iris-setosa,IRIS,setosa,1
4.4,3.2,1.3,0.2,Iris-setosa,IRIS,setosa,1
5.0,3.5,1.6,0.6,Iris-setosa,IRIS,setosa,2
5.1,3.8,1.9,0.4,Iris-setosa,IRIS,setosa,3
4.8,3.0,1.4,0.3,Iris-setosa,IRIS,setosa,1
5.1,3.8,1.6,0.2,Iris-setosa,IRIS,setosa,2
4.6,3.2,1.4,0.2,Iris-setosa,IRIS,setosa,1
5.3,3.7,1.5,0.2,Iris-setosa,IRIS,setosa,2
5.0,3.3,1.4,0.2,Iris-setosa,IRIS,setosa,1
7.0,3.2,4.7,1.4,Iris-versicolor,IRIS,versicolor,22
6.4,3.2,4.5,1.5,Iris-versicolor,IRIS,versicolor,20
6.9,3.1,4.9,1.5,Iris-versicolor,IRIS,versicolor,24
5.5,2.3,4.0,1.3,Iris-versicolor,IRIS,versicolor,16
6.5,2.8,4.6,1.5,Iris-versicolor,IRIS,versicolor,21
5.7,2.8,4.5,1.3,Iris-versicolor,IRIS,versicolor,20
6.3,3.3,4.7,1.6,Iris-versicolor,IRIS,versicolor,22
4.9,2.4,3.3,1.0,Iris-versicolor,IRIS,versicolor,10
6.6,2.9,4.6,1.3,Iris-versicolor,IRIS,versicolor,21
5.2,2.7,3.9,1.4,Iris-versicolor,IRIS,versicolor,15
5.0,2.0,3.5,1.0,Iris-versicolor,IRIS,versicolor,12
5.9,3.0,4.2,1.5,Iris-versicolor,IRIS,versicolor,17
6.0,2.2,4.0,1.0,Iris-versicolor,IRIS,versicolor,16
6.1,2.9,4.7,1.4,Iris-versicolor,IRIS,versicolor,22
5.6,2.9,3.6,1.3,Iris-versicolor,IRIS,versicolor,12
6.7,3.1,4.4,1.4,Iris-versicolor,IRIS,versicolor,19
5.6,3.0,4.5,1.5,Iris-versicolor,IRIS,versicolor,20
5.8,2.7,4.1,1.0,Iris-versicolor,IRIS,versicolor,16
6.2,2.2,4.5,1.5,Iris-versicolor,IRIS,versicolor,20
5.6,2.5,3.9,1.1,Iris-versicolor,IRIS,versicolor,15
5.9,3.2,4.8,1.8,Iris-versicolor,IRIS,versicolor,23
6.1,2.8,4.0,1.3,Iris-versicolor,IRIS,versicolor,16
6.3,2.5,4.9,1.5,Iris-versicolor,IRIS,versicolor,24
6.1,2.8,4.7,1.2,Iris-versicolor,IRIS,versicolor,22
6.4,2.9,4.3,1.3,Iris-versicolor,IRIS,versicolor,18
6.6,3.0,4.4,1.4,Iris-versicolor,IRIS,versicolor,19
6.8,2.8,4.8,1.4,Iris-versicolor,IRIS,versicolor,23
6.7,3.0,5.0,1.7,Iris-versicolor,IRIS,versicolor,25
6.0,2.9,4.5,1.5,Iris-versicolor,IRIS,versicolor,20
5.7,2.6,3.5,1.0,Iris-versicolor,IRIS,versicolor,12
5.5,2.4,3.8,1.1,Iris-versicolor,IRIS,versicolor,14
5.5,2.4,3.7,1.0,Iris-versicolor,IRIS,versicolor,13
5.8,2.7,3.9,1.2,Iris-versicolor,IRIS,versicolor,15
6.0,2.7,5.1,1.6,Iris-versicolor,IRIS,versicolor,26
5.4,3.0,4.5,1.5,Iris-versicolor,IRIS,versicolor,20
6.0,3.4,4.5,1.6,Iris-versicolor,IRIS,versicolor,20
6.7,3.1,4.7,1.5,Iris-versicolor,IRIS,versicolor,22
6.3,2.3,4.4,1.3,Iris-versicolor,IRIS,versicolor,19
5.6,3.0,4.1,1.3,Iris-versicolor,IRIS,versicolor,16
5.5,2.5,4.0,1.3,Iris-versicolor,IRIS,versicolor,16
5.5,2.6,4.4,1.2,Iris-versicolor,IRIS,versicolor,19
6.1,3.0,4.6,1.4,Iris-versicolor,IRIS,versicolor,21
5.8,2.6,4.0,1.2,Iris-versicolor,IRIS,versicolor,16
5.0,2.3,3.3,1.0,Iris-versicolor,IRIS,versicolor,10
5.6,2.7,4.2,1.3,Iris-versicolor,IRIS,versicolor,17
5.7,3.0,4.2,1.2,Iris-versicolor,IRIS,versicolor,17
5.7,2.9,4.2,1.3,Iris-versicolor,IRIS,versicolor,17
6.2,2.9,4.3,1.3,Iris-versicolor,IRIS,versicolor,18
5.1,2.5,3.0,1.1,Iris-versicolor,IRIS,versicolor,9
5.7,2.8,4.1,1.3,Iris-versicolor,IRIS,versicolor,16
6.3,3.3,6.0,2.5,Iris-virginica,IRIS,virginica,36
5.8,2.7,5.1,1.9,Iris-virginica,IRIS,virginica,26
7.1,3.0,5.9,2.1,Iris-virginica,IRIS,virginica,34
6.3,2.9,5.6,1.8,Iris-virginica,IRIS,virginica,31
6.5,3.0,5.8,2.2,Iris-virginica,IRIS,virginica,33
7.6,3.0,6.6,2.1,Iris-virginica,IRIS,virginica,43
4.9,2.5,4.5,1.7,Iris-virginica,IRIS,virginica,20
7.3,2.9,6.3,1.8,Iris-virginica,IRIS,virginica,39
6.7,2.5,5.8,1.8,Iris-virginica,IRIS,virginica,33
7.2,3.6,6.1,2.5,Iris-virginica,IRIS,virginica,37
6.5,3.2,5.1,2.0,Iris-virginica,IRIS,virginica,26
6.4,2.7,5.3,1.9,Iris-virginica,IRIS,virginica,28
6.8,3.0,5.5,2.1,Iris-virginica,IRIS,virginica,30
5.7,2.5,5.0,2.0,Iris-virginica,IRIS,virginica,25
5.8,2.8,5.1,2.4,Iris-virginica,IRIS,virginica,26
6.4,3.2,5.3,2.3,Iris-virginica,IRIS,virginica,28
6.5,3.0,5.5,1.8,Iris-virginica,IRIS,virginica,30
7.7,3.8,6.7,2.2,Iris-virginica,IRIS,virginica,44
7.7,2.6,6.9,2.3,Iris-virginica,IRIS,virginica,47
6.0,2.2,5.0,1.5,Iris-virginica,IRIS,virginica,25
6.9,3.2,5.7,2.3,Iris-virginica,IRIS,virginica,32
5.6,2.8,4.9,2.0,Iris-virginica,IRIS,virginica,24
7.7,2.8,6.7,2.0,Iris-virginica,IRIS,virginica,44
6.3,2.7,4.9,1.8,Iris-virginica,IRIS,virginica,24
6.7,3.3,5.7,2.1,Iris-virginica,IRIS,virginica,32
7.2,3.2,6.0,1.8,Iris-virginica,IRIS,virginica,36
6.2,2.8,4.8,1.8,Iris-virginica,IRIS,virginica,23
6.1,3.0,4.9,1.8,Iris-virginica,IRIS,virginica,24
6.4,2.8,5.6,2.1,Iris-virginica,IRIS,virginica,31
7.2,3.0,5.8,1.6,Iris-virginica,IRIS,virginica,33
7.4,2.8,6.1,1.9,Iris-virginica,IRIS,virginica,37
7.9,3.8,6.4,2.0,Iris-virginica,IRIS,virginica,40
6.4,2.8,5.6,2.2,Iris-virginica,IRIS,virginica,31
6.3,2.8,5.1,1.5,Iris-virginica,IRIS,virginica,26
6.1,2.6,5.6,1.4,Iris-virginica,IRIS,virginica,31
7.7,3.0,6.1,2.3,Iris-virginica,IRIS,virginica,37
6.3,3.4,5.6,2.4,Iris-virginica,IRIS,virginica,31
6.4,3.1,5.5,1.8,Iris-virginica,IRIS,virginica,30
6.0,3.0,4.8,1.8,Iris-virginica,IRIS,virginica,23
6.9,3.1,5.4,2.1,Iris-virginica,IRIS,virginica,29
6.7,3.1,5.6,2.4,Iris-virginica,IRIS,virginica,31
6.9,3.1,5.1,2.3,Iris-virginica,IRIS,virginica,26
5.8,2.7,5.1,1.9,Iris-virginica,IRIS,virginica,26
6.8,3.2,5.9,2.3,Iris-virginica,IRIS,virginica,34
6.7,3.3,5.7,2.5,Iris-virginica,IRIS,virginica,32
6.7,3.0,5.2,2.3,Iris-virginica,IRIS,virginica,27
